experiment_id,dataset_name,seed,data_fraction,n_samples,n_features,model_family,params,train_time_s,roc_auc,emissions_kg,params_dict,lr_C,lr_max_iter,rf_n_estimators,rf_max_depth,mlp_hidden_total,mlp_hidden_layers,mlp_max_iter,complexity_score,baseline_auc,delta_auc,EAUG
86,titanic,109143,0.8635428919061892,616,5,mlp,"{'hidden_layer_sizes': (171, 13), 'max_iter': 150, 'activation': 'relu', 'solver': 'adam'}",0.472224473953247,0.7510810810810811,1.0652866083246162e-05,"{'hidden_layer_sizes': (171, 13), 'max_iter': 150, 'activation': 'relu', 'solver': 'adam'}",,,,,184.0,2.0,150.0,3078.0,0.7561269658718485,0.0,0.0
87,titanic,232640,0.6246156724792429,445,5,mlp,"{'hidden_layer_sizes': (162,), 'max_iter': 119, 'activation': 'relu', 'solver': 'adam'}",0.1792690753936767,0.8532494758909853,4.0537221612870926e-06,"{'hidden_layer_sizes': (162,), 'max_iter': 119, 'activation': 'relu', 'solver': 'adam'}",,,,,162.0,1.0,119.0,810.0,0.7561269658718485,0.09712251001913685,23958.847240852738
88,titanic,603107,0.5300572554189442,378,5,mlp,"{'hidden_layer_sizes': (125, 188, 175), 'max_iter': 163, 'activation': 'relu', 'solver': 'adam'}",1.149850368499756,0.7096774193548386,2.5729392853875123e-05,"{'hidden_layer_sizes': (125, 188, 175), 'max_iter': 163, 'activation': 'relu', 'solver': 'adam'}",,,,,488.0,3.0,163.0,57025.0,0.7561269658718485,0.0,0.0
89,titanic,425882,0.7215448204639794,515,5,mlp,"{'hidden_layer_sizes': (81,), 'max_iter': 189, 'activation': 'relu', 'solver': 'adam'}",0.3359413146972656,0.8407494145199063,7.715323736943453e-06,"{'hidden_layer_sizes': (81,), 'max_iter': 189, 'activation': 'relu', 'solver': 'adam'}",,,,,81.0,1.0,189.0,405.0,0.7561269658718485,0.08462244864805779,10968.100825485555
90,titanic,247839,0.3893298903980649,277,5,mlp,"{'hidden_layer_sizes': (175, 62, 96), 'max_iter': 130, 'activation': 'relu', 'solver': 'adam'}",0.3790240287780761,0.7167325428194994,8.563853699256583e-06,"{'hidden_layer_sizes': (175, 62, 96), 'max_iter': 130, 'activation': 'relu', 'solver': 'adam'}",,,,,333.0,3.0,130.0,17677.0,0.7561269658718485,0.0,0.0
91,titanic,105278,0.2532470855641425,180,5,mlp,"{'hidden_layer_sizes': (152, 170, 165), 'max_iter': 194, 'activation': 'relu', 'solver': 'adam'}",0.5959823131561279,0.6349206349206349,1.3391654447269033e-05,"{'hidden_layer_sizes': (152, 170, 165), 'max_iter': 194, 'activation': 'relu', 'solver': 'adam'}",,,,,487.0,3.0,194.0,54650.0,0.7561269658718485,0.0,0.0
92,titanic,192301,0.4482677391392595,320,5,mlp,"{'hidden_layer_sizes': (123, 78), 'max_iter': 72, 'activation': 'relu', 'solver': 'adam'}",0.1684293746948242,0.7753036437246963,3.822636366731771e-06,"{'hidden_layer_sizes': (123, 78), 'max_iter': 72, 'activation': 'relu', 'solver': 'adam'}",,,,,201.0,2.0,72.0,10209.0,0.7561269658718485,0.019176677852847823,5016.610530821496
93,titanic,598559,0.4277760658703484,305,5,mlp,"{'hidden_layer_sizes': (186, 37, 184), 'max_iter': 189, 'activation': 'relu', 'solver': 'adam'}",0.67531418800354,0.6333333333333333,1.4909275980304957e-05,"{'hidden_layer_sizes': (186, 37, 184), 'max_iter': 189, 'activation': 'relu', 'solver': 'adam'}",,,,,407.0,3.0,189.0,14620.0,0.7561269658718485,0.0,0.0
94,titanic,455657,0.216918413069152,154,5,mlp,"{'hidden_layer_sizes': (120,), 'max_iter': 73, 'activation': 'relu', 'solver': 'adam'}",0.0759458541870117,0.7222222222222222,1.4536561296097724e-06,"{'hidden_layer_sizes': (120,), 'max_iter': 73, 'activation': 'relu', 'solver': 'adam'}",,,,,120.0,1.0,73.0,600.0,0.7561269658718485,0.0,0.0
95,titanic,194821,0.2427055461017403,173,5,mlp,"{'hidden_layer_sizes': (145,), 'max_iter': 58, 'activation': 'relu', 'solver': 'adam'}",0.0540509223937988,0.8095238095238094,1.2694390721080303e-06,"{'hidden_layer_sizes': (145,), 'max_iter': 58, 'activation': 'relu', 'solver': 'adam'}",,,,,145.0,1.0,58.0,725.0,0.7561269658718485,0.05339684365196096,42063.337126759594
