experiment_id,dataset_name,seed,data_fraction,n_samples,n_features,model_family,params,train_time_s,roc_auc,emissions_kg
140,penguins_adelie,910638,0.7250152314619922,247,4,log_reg,"{'C': 0.062060734159813134, 'max_iter': 208, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0,0.9983766233766234,9.31683636548958e-08
141,penguins_adelie,5429,0.24132633361151914,82,4,log_reg,"{'C': 0.013952461794521257, 'max_iter': 203, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.004008054733276367,0.9428571428571428,1.1300805192334888e-07
142,penguins_adelie,801481,0.3908422565019108,133,4,log_reg,"{'C': 2.652776799080803, 'max_iter': 789, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.005609273910522461,1.0,1.6529487363761854e-07
143,penguins_adelie,57231,0.840771082913341,287,4,log_reg,"{'C': 24.982469834800053, 'max_iter': 347, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0,1.0,1.3738564671040957e-07
144,penguins_adelie,772108,0.7584966271829099,259,4,log_reg,"{'C': 51.42587865113003, 'max_iter': 272, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0187833309173584,1.0,3.1657177161654083e-07
145,penguins_adelie,40151,0.3614256885752443,123,4,log_reg,"{'C': 22.486448813423763, 'max_iter': 468, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.016103506088256836,1.0,1.3163031004696483e-07
146,penguins_adelie,504530,0.7961505026630757,272,4,log_reg,"{'C': 0.03160055551157642, 'max_iter': 619, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0,1.0,9.70893201129938e-08
147,penguins_adelie,851131,0.3241703939528727,110,4,log_reg,"{'C': 3.3116724740151513, 'max_iter': 251, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.013915777206420898,1.0,2.457923197480547e-07
148,penguins_adelie,193041,0.4166070010542402,142,4,log_reg,"{'C': 8.679293359544591, 'max_iter': 231, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.01565718650817871,1.0,1.1571543962944164e-07
149,penguins_adelie,980204,0.6892348847816556,235,4,log_reg,"{'C': 6.912239685605468, 'max_iter': 514, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.005949735641479492,1.0,1.1028396916654001e-07
150,penguins_adelie,616308,0.23388044126413368,79,4,log_reg,"{'C': 0.01651966590869618, 'max_iter': 242, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.014045238494873047,1.0,1.1127818085568996e-07
151,penguins_adelie,709578,0.3385022771380026,115,4,log_reg,"{'C': 34.40193298149837, 'max_iter': 475, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0,1.0,1.1082523977189888e-07
